code,total,ninni_zahyou,kokyo_zahyou,special_chiban
19429,23403,5710,16797,896
19430,78206,54801,17138,6267
19442,12734,11673,0,1061
19443,9963,9033,0,930
20201,1242971,818412,304272,120287
20202,524386,330470,138539,55377
20203,537986,367200,116372,54414
20204,119680,111080,969,7631
20205,390337,21765,341627,26945
20206,126982,116079,1538,9365
20207,147118,132556,3025,11537
20208,150409,14324,114237,21848
20209,329546,183679,103247,42620
20210,122661,99100,13769,9792
20211,209370,187860,3288,18222
20212,214334,109247,82993,22094
20213,217231,155848,37312,24071
20214,210283,167617,23783,18883
20215,169961,100601,51670,17690
20217,376820,32559,283245,61016
20218,185681,57123,109743,18815
20219,123987,468,102290,21229
20220,296925,36043,218450,42432
20303,58491,146,46684,11661
20304,34890,5353,23932,5605
20305,32301,7981,19236,5084
20306,22862,22,18119,4721
20307,17524,81,13627,3816
