code,total,ninni_zahyou,kokyo_zahyou,special_chiban
05346,39930,18422,11731,9777
05348,137849,26466,87482,23901
05349,67299,17445,34301,15553
05361,66285,7089,50862,8334
05363,26182,16579,6799,2804
05366,30244,3379,23138,3727
05434,113586,4253,93329,16004
05463,115610,64006,35384,16220
05464,24886,98,20013,4775
06201,413861,299713,72695,41453
06202,334718,291805,6396,36517
06203,609518,281376,256218,71924
06204,390187,184592,158927,46668
06205,112748,23262,75431,14055
06206,111014,15924,77949,17141
06207,176980,148364,11259,17357
06208,124718,19721,90688,14309
06209,125306,55840,52054,17412
06210,157488,115969,15422,26097
06211,130783,31701,79492,19590
06212,142390,48809,70809,22772
06213,172035,131946,21470,18619
06301,42185,1221,37087,3877
06302,35508,4280,27782,3446
06321,52633,1020,37548,14065
06322,59914,2840,43947,13127
06323,67706,68,47244,20394
06324,60546,1407,33484,25655
06341,43246,7535,25918,9793
06361,39095,773,33032,5290
06362,59497,3793,46995,8709
06363,47663,1598,39583,6482
06364,57819,1083,49197,7539
06365,34659,334,30671,3654
06366,42175,551,36097,5527
06367,40255,2324,31985,5946
06381,133850,73086,44796,15968
06382,147347,105144,21120,21083
06401,88754,28299,41684,18771
06402,147460,53905,74279,19276
06403,92810,44621,34068,14121
06426,33625,9123,19219,5283
06428,111961,28035,66124,17802
06461,106634,14111,81601,10922
07201,582037,135676,383206,63155
07202,296930,69347,154724,72859
07203,699782,227188,394554,78040
07204,711931,128985,504141,78805
07205,212252,33309,153826,25117
07207,289814,20910,240213,28691
07208,344924,76423,137007,131494
07209,140273,2853,120334,17086
07210,394304,2867,355273,36164
07211,350843,278,309886,40679
07212,317130,6850,280915,29365
07213,304783,116917,160287,27579
07214,102311,0,94174,8137
07301,44960,2650,34643,7667
07303,41805,2837,30311,8657
07308,85453,0,74889,10564
07309,444,0,2,442
07321,1,0,1,0
07322,49762,4415,40614,4733
07342,38903,410,35769,2724
07344,56391,20657,28106,7628
07362,101318,22512,33793,45013
07364,6243,161,5105,977
07367,66447,25035,32720,8692
07368,178972,87585,62574,28813
07402,30941,20291,7310,3340
07405,160126,84904,3268,71954
07407,34315,10774,18557,4984
07408,113987,19690,61753,32544
07421,94393,22193,39160,33040
07422,22122,5382,9604,7136
07423,97388,37281,3631,56476
07444,61688,56141,922,4625
07445,84755,73618,3549,7588
07446,43370,34491,2100,6779
07447,158175,43396,46755,68024
07461,64712,10701,47928,6083
07464,29814,10100,15361,4353
07465,17480,6284,9090,2106
07466,68820,6508,56179,6133
07481,71185,9730,52283,9172
07482,49878,1546,41733,6599
07483,74501,27201,36941,10359
07484,36754,189,32245,4320
07501,104462,1531,93386,9545
07502,55517,33,50596,4888
07503,57150,1208,50893,5049
07504,44450,3090,36558,4802
07505,51819,1479,43901,6439
07521,122525,7803,104139,10583
07522,64952,0,54811,10141
07541,25959,1047,21395,3517
07542,37335,4,33732,3599
07543,42638,865,37929,3844
07544,27935,8467,14730,4738
07545,45212,593,39319,5300
07546,36722,251,29849,6622
07547,82151,4718,66732,10701
07548,14437,0,11083,3354
07561,43232,1635,37298,4299
07564,59199,5807,46739,6653
08201,349536,104429,217347,27760
08202,181640,38866,122381,20393
08203,212023,63105,130370,18548
08204,240189,136216,88900,15073
08205,187088,28539,141622,16927
08207,96020,48871,38166,8983
08208,113991,64313,38404,11274
08210,100625,21903,59405,19317
08211,177115,105381,40907,30827
08212,256422,16034,209579,30809
08214,60247,15171,35210,9866
08215,107741,62323,31999,13419
08216,197423,16002,161162,20259
08217,149783,104853,22328,22602
08219,96504,17705,74382,4417
08220,373252,140997,196096,36159
08221,160523,88970,61643,9910
08222,136138,92645,32668,10825
08223,76049,58083,10336,7630
08224,70953,62761,4785,3407
08225,260453,9203,221559,29691
08226,137961,4880,122457,10624
08227,259317,109201,122474,27642
08228,186275,110475,61515,14285
08229,197500,99151,66902,31447
08230,139570,2941,125556,11073
08231,143569,11652,117136,14781
08232,143814,116778,14587,12449
08233,168048,1883,139697,26468
08234,183708,6920,157252,19536
08235,118929,95775,13119,10035
08236,144445,13898,118211,12336
08302,113516,18257,81552,13707
08309,31546,14785,14141,2620
08310,93415,14909,66529,11977
08341,46190,3057,39944,3189
08364,187379,104755,59325,23299
08442,45240,7748,33670,3822
08443,95964,3314,85917,6733
08447,38488,17322,13960,7206
08521,71586,11144,53517,6925
08542,29742,17363,9854,2525
08546,62928,8740,49803,4385
08564,35137,11163,19785,4189
09201,591833,423894,108965,58974
09202,270700,227250,4910,38540
09203,414914,299452,66987,48475
09204,331249,278072,4837,48340
09205,306611,250506,8546,47559
09206,313689,241800,20073,51816
09208,255944,215609,18229,22106
09209,186604,157422,12307,16875
09210,258661,157718,44650,56293
09211,113674,61541,34033,18100
09213,304085,113698,161490,28897
09214,116179,56523,48302,11354
09215,137101,49991,60515,26595
09216,99718,72793,18957,7968
09301,64585,54727,3291,6567
09342,86851,68795,6792,11264
09343,155404,117673,2128,35603
09344,68609,53531,2118,12960
09345,73903,58181,6306,9416
09361,94546,83862,2414,8270
09364,47150,41251,1764,4135
09384,77323,37998,22905,16420
09386,74054,56388,9747,7919
09407,255969,184283,11766,59920
09411,106823,25970,56983,23870
10201,464312,201796,227872,34644
10202,633941,365780,206071,62090
10203,221134,97383,91910,31841
10204,309795,223287,62936,23572
10205,336572,201930,103635,31007
10206,205187,152801,25353,27033
10207,129304,103208,15474,10622
10208,225423,51972,152044,21407
10209,170028,53616,99119,17293
10210,158605,28000,108308,22297
10211,256401,96555,134071,25775
10212,121019,63621,41112,16286
10303,4324,58,4,4262
10342,1,0,1,0
10344,37363,31574,2693,3096
10345,41211,34720,4060,2431
10366,22726,16325,502,5899
10367,42199,24484,9629,8086
10382,90955,70064,95,20796
10383,52397,38264,4,14129
10384,54323,3928,44914,5481
10421,112161,15077,82326,14758
10424,57188,30727,19430,7031
10425,105052,72784,22802,9466
10426,12170,534,10682,954
10428,22094,1559,17854,2681
10429,126110,64093,43624,18393
10443,48588,41899,433,6256
10444,28423,21276,3089,4058
10448,47894,37962,6141,3791
10449,151097,53004,77139,20954
10464,49788,17218,30873,1697
10521,75056,64117,3013,7926
10522,33238,0,31542,1696
10523,38389,33203,894,4292
10524,34633,29619,2764,2250
10525,58397,52792,945,4660
11101,109170,102196,3437,3537
11102,64615,63179,167,1269
11103,61035,59855,89,1091
11104,129706,118164,7984,3558
11105,41127,40218,139,770
11106,67587,64364,360,2863
11107,67754,58083,8228,1443
11108,75377,72343,1670,1364
11109,102679,85008,14839,2832
11110,162307,149611,5337,7359
11201,347847,227783,101322,18742
11202,341236,176413,145332,19491
11203,325764,277821,39751,8192
11206,160819,133009,18103,9707
11207,240301,211991,8760,19550
11208,227458,133220,87201,7037
11209,150708,115962,20227,14519
11210,259353,85387,156647,17319
11211,141875,46807,82050,13018
11212,145768,82410,53327,10031
11214,240595,196019,34469,10107
11215,127241,30969,90101,6171
11216,132889,112308,11508,9073
11217,211291,178318,18397,14576
11218,244061,169584,62883,11594
11219,175120,129515,41657,3948
11221,157354,144234,9175,3945
11222,273890,249462,15975,8453
11225,115364,25493,85428,4443
11227,75552,71616,2472,1464
11228,42060,26253,13949,1858
11229,36029,33819,1296,914
11230,103947,99657,2180,2110
11231,82832,72207,7725,2900
11232,241574,205438,24692,11444
11233,74766,71670,203,2893
11234,80730,75794,2778,2158
11235,89835,83902,3863,2070
11237,87875,77180,8554,2141
11238,85585,76182,5868,3535
11239,101707,24323,71588,5796
11240,85603,80539,1636,3428
11241,48432,3506,43579,1347
11242,86504,15229,64673,6602
11243,81905,68998,6763,6144
11245,65296,36687,26635,1974
11246,75239,67343,7837,59
11301,45522,36653,7445,1424
11324,33868,545,32183,1140
11326,57619,1572,51519,4528
11327,37403,2058,31396,3949
11341,45496,6950,34576,3970
11342,41594,2065,35548,3981
11343,76892,32089,34654,10149
11346,119442,106169,117,13156
11347,91651,82891,923,7837
11348,36048,855,32184,3009
11349,51021,16590,28332,6099
11361,36988,34564,150,2274
11362,66412,60350,78,5984
11365,103993,81934,8265,13794
11369,28614,25142,789,2683
11381,42646,15823,22976,3847
11383,46540,13226,27919,5395
11385,51813,12610,36014,3189
11401,7,2,5,0
11408,115793,105656,2442,7695
11421,649,1,68,580
11424,820,461,17,342
11425,867,0,355,512
11442,54067,50909,1075,2083
11445,3215,159,8,3048
11461,617,302,16,299
11464,67542,60052,3599,3891
11465,45620,41567,1884,2169
12101,121033,97075,20062,3896
12102,106795,99542,4913,2340
12103,71137,65932,3310,1895
12104,146628,136509,4852,5267
12105,109821,100709,5162,3950
12202,153863,139518,1615,12730
12203,247950,231724,8453,7773
12204,327682,315638,3911,8133
12205,172674,159541,2161,10972
12206,213361,170464,27070,15827
12207,262577,251524,5793,5260
12208,225515,192464,22953,10098
12210,219130,200199,5563,13368
12211,279869,180770,74280,24819
12212,204218,186336,8880,9002
12213,168557,137609,13728,17220
12215,224448,173311,26732,24405
12216,69204,63241,4826,1137
12217,311259,272979,31131,7149
12218,94153,82382,2228,9543
12219,511736,440154,29799,41783
12220,124762,111696,9651,3415
12221,137706,124842,7467,5397
12222,97287,90436,4224,2627
12223,196199,164012,5651,26536
12224,89099,85965,1840,1294
12225,274411,219248,27689,27474
12226,193187,141182,30196,21809
12227,34475,30601,3212,662
12228,85521,80616,2426,2479
12229,132059,106619,15569,9871
12230,116875,69188,216,47471
12231,157564,129283,18951,9330
12232,61479,49406,9145,2928
12233,78453,74968,226,3259
12234,270193,139994,93974,36225
12235,179233,165271,28,13934
12236,364307,220203,84132,59972
12237,219800,177558,15040,27202
12238,242289,216334,6405,19550
12239,110445,101599,5738,3108
12322,36557,34027,139,2391
12329,48367,41415,3938,3014
12342,26897,6948,14201,5748
12347,100413,37485,50401,12527
12349,48302,6965,34500,6837
12402,8544,308,1,8235
12403,52246,47347,39,4860
12409,51906,39030,9572,3304
12410,137515,123517,2301,11697
12421,42217,7455,29668,5094
12422,47796,37731,6814,3251
12423,48578,23851,12353,12374
12424,40825,12321,26758,1746
12426,56423,41073,10798,4552
12427,81625,60656,13376,7593
12441,103789,80356,11460,11973
12463,46644,17177,23850,5617
13101,22026,21169,235,622
13102,29950,28430,1002,518
13103,55422,52169,1328,1925
13104,93985,89268,1995,2722
13105,57809,54562,2152,1095
13106,51793,51067,52,674
13107,70649,66219,2294,2136
13108,79591,73362,3382,2847
13109,96977,90680,3313,2984
13110,81242,77990,605,2647
13111,197437,190712,527,6198
13112,310947,287349,11613,11985
13113,69590,58641,8513,2436
13114,110528,106596,1521,2411
13115,213693,207392,86,6215
13116,83835,74351,7479,2005
13117,96995,88387,5469,3139
13119,151897,137795,10000,4102
13120,304267,294637,2809,6821
13121,261270,237013,15601,8656
13122,189814,139187,40080,10547
13123,231200,200927,20209,10064
13201,374696,319878,34849,19969
13202,79756,76830,1309,1617
13203,52130,50979,462,689
13204,84809,83007,3,1799
13205,147889,118333,19495,10061
13206,126657,121456,351,4850
13207,63002,58570,1155,3277
13208,110720,104789,257,5674
13209,274489,234909,26292,13288
13210,58535,57465,33,1037
13211,91405,88941,1062,1402
13212,94807,81330,9325,4152
13213,80592,79008,109,1475
13214,64007,62806,46,1155
13215,35325,33405,320,1600
13218,32159,25868,5449,842
13220,45772,43220,896,1656
13222,61381,59695,417,1269
13223,51652,48757,1182,1713
13224,41943,16271,22495,3177
13225,48759,42428,3619,2712
13227,28627,19820,8012,795
13228,108342,43609,57738,6995
13229,90106,88743,116,1247
13303,31839,9826,20530,1483
13305,27777,2862,22165,2750
13308,40622,30090,5100,5432
13361,34070,502,30337,3231
13362,3700,0,3436,264
13363,13787,0,13207,580
13364,13371,0,12700,671
13381,24289,0,23275,1014
13382,3121,0,2731,390
13401,35138,0,30634,4504
13402,1019,0,905,114
13421,10228,0,7075,3153
14101,102507,98087,3,4417
14102,92627,66972,21733,3922
14103,27272,26122,446,704
14104,49435,44394,3054,1987
14105,81581,70837,6253,4491
14106,97556,44540,46995,6021
14107,73214,67319,352,5543
14108,91375,78150,8109,5116
14109,147757,136083,4679,6995
14110,158660,53315,91332,14013
14111,108831,90370,10656,7805
14112,126660,3398,111450,11812
14113,79182,21195,52845,5142
14114,66370,3452,58183,4735
14115,68381,6559,53602,8220
14116,97534,26567,66211,4756
14117,108649,52568,52283,3798
14118,79856,75510,1357,2989
14131,60363,57939,44,2380
14132,44879,41951,7,2921
14133,74539,66264,3512,4763
14135,96548,79207,8451,8890
14136,82388,75584,3518,3286
14137,88234,40458,36306,11470
14151,281533,244236,17365,19932
14152,148558,143230,2483,2845
14153,167160,161238,2611,3311
14201,319362,291863,10188,17311
14203,241811,215242,4665,21904
14204,142732,132582,589,9561
14205,262507,212271,38558,11678
14206,274351,238751,2316,33284
14207,188240,176248,3156,8836
14208,50583,47237,64,3282
14210,74267,66682,1658,5927
14211,222049,192990,2678,26381
14212,242364,191730,31668,18966
14213,112584,107432,2433,2719
14214,142267,107166,17866,17235
14215,96930,69576,20407,6947
14216,81630,77654,582,3394
14217,92043,37972,41599,12472
14218,82340,77132,1337,3871
14321,50511,46581,296,3634
14342,37915,30105,3379,4431
14361,43406,28624,7573,7209
14362,35350,5797,24978,4575
14363,37190,28302,2765,6123
14364,72259,55359,4641,12259
14366,22929,13398,6374,3157
14384,39486,35399,634,3453
14401,74960,67864,164,6932
14402,22882,18606,53,4223
15101,205425,143202,17546,44677
15102,133898,81481,41387,11030
15103,142626,106567,31947,4112
15104,187058,118340,46214,22504
15105,213906,164926,26676,22304
15106,127186,6355,107849,12982
15107,263303,137493,103776,22034
15108,303115,121946,110347,70822
15202,1356402,981928,144123,230351
15204,390888,244801,64718,81369
15205,725616,595187,19847,110582
15206,399484,138473,178076,82935
15208,218036,61466,51456,105114
15209,122450,70293,4563,47594
15210,642726,245301,98193,299232
15211,153803,114221,11391,28191
15212,430645,132954,229490,68201
15213,223330,106738,95003,21589
15216,596334,510277,36599,49458
15217,314759,248750,22631,43378
15218,275593,176691,19854,79048
15222,1461627,1054001,267518,140108
15223,219715,73454,112284,33977
15224,580337,14767,438693,126877
15225,306947,33998,235424,37525
15226,352438,104257,189191,58990
15227,141583,2348,118747,20488
15307,42496,3702,34207,4587
15342,37468,1586,31763,4119
15361,52827,12747,4093,35987
15385,292131,121889,35674,134568
15405,79126,65070,5830,8226
15461,48775,20822,23123,4830
15482,142303,0,41248,101055
15504,43275,21266,15448,6561
15581,63598,4835,47281,11482
15584,2,1,1,0
15586,6327,1503,4015,809
16201,1320976,926303,206018,188655
16202,423762,298183,79088,46491
16204,211336,164401,17163,29772
16205,323616,191151,89064,43401
16206,131129,62733,49645,18751
16207,198736,129593,40876,28267
16208,199751,103577,76787,19387
16209,215535,162667,31753,21115
16210,424294,299433,80842,44019
16211,232930,161194,34831,36905
16301,2,0,2,0
16321,9481,2851,5303,1327
16322,160904,117901,19588,23415
16323,153873,95866,35323,22684
16342,95854,59164,28896,7794
16343,108302,84060,9358,14884
17201,747481,370117,286611,90753
17202,447189,364435,24167,58587
17203,411128,332600,29997,48531
17204,569396,490911,5347,73138
17205,224177,183811,6727,33639
17206,329180,230843,60102,38235
17207,108220,16416,72544,19260
17209,122748,76832,31830,14086
17210,379112,179878,135393,63841
17211,147551,101505,23733,22313
17212,41225,11192,29607,426
17324,28426,14096,7501,6829
17344,4493,6,18,4469
17361,235120,191910,12876,30334
17365,23251,9186,12888,1177
17384,242314,101284,103328,37702
17386,130877,69518,36778,24581
17407,136721,83527,32860,20334
17461,172945,152133,258,20554
17463,278448,225308,9949,43191
18201,753038,513757,117125,122156
18202,194139,136622,16892,40625
18204,168569,123400,9414,35755
18205,240257,160177,33218,46862
18206,180729,124332,11206,45191
18207,191863,142657,20766,28440
18208,152693,95510,32071,25112
18209,341279,251345,23547,66387
18210,284039,182227,47020,54792
18322,100497,68936,10075,21486
18382,79910,58852,1493,19565
18404,147300,86937,23260,37103
18423,193318,141220,9229,42869
18442,70328,43767,10261,16300
18481,69589,50085,4284,15220
18483,67231,25017,26702,15512
18501,124606,58060,39968,26578
19201,268549,56508,178841,33200
19202,90365,58816,20577,10972
19204,109546,38062,53191,18293
19205,172291,7211,134189,30891
19206,160272,83082,50526,26664
19207,132165,106,116496,15563
19208,198070,8134,172768,17168
19209,389584,3887,339997,45700
19210,148081,12852,115957,19272
19211,242581,13747,196541,32293
19212,154696,111567,27057,16072
19213,142584,6436,113174,22974
19214,65126,16870,40282,7974
19346,102086,18919,70337,12830
19365,270592,180174,60903,29515
19366,113871,43223,47271,23377
19368,90417,26634,52273,11510
19384,28948,1864,24046,3038
19422,28221,21681,1129,5411
19423,12299,40,10062,2197
19424,21439,5227,13267,2945
19425,23911,20961,1674,1276
19429,23403,5711,16797,895
19430,78206,54821,17138,6247
20201,1242971,779478,302739,160754
20202,524386,330667,138516,55203
20203,537986,363905,116309,57772
20204,119680,111086,969,7625
20205,390337,21667,341513,27157
20206,126982,116085,1538,9359
20207,147118,132558,3025,11535
20208,150409,14324,114237,21848
20209,329546,184016,103188,42342
20210,122661,99143,13769,9749
20211,209370,187861,3288,18221
20212,214334,109246,82993,22095
20213,217231,155917,37312,24002
20214,210283,167638,23784,18861
